link,channel_name,last_id,ignore,media_type,website,content_type,audience size
https://t.me/rt_russian,rt_russian,164235,,tv,rt.com,propaganda,105
https://t.me/ntvnews,ntvnews,116705,,tv,ntv.ru,propaganda,
https://t.me/tvrussia1,tvrussia1,19538,,tv,,propaganda,
https://t.me/bbcrussian,bbcrussian,48798,,web/press,,altern,
https://t.me/news_1tv,news_1tv,22056,,tv,1tv.ru,propaganda,
https://t.me/redakciya_channel,redakciya_channel,21152,,tg - news,,altern,
https://t.me/meduzalive,meduzalive,87152,,web/press,meduza.io,altern,
https://t.me/mediazzzona,mediazzzona,12101,,web/press,zona.media,altern,
https://t.me/thebell_io,thebell_io,23585,,web/press,thebell.io,altern,
https://t.me/rian_ru,rian_ru,207734,,web/press,ria.ru,propaganda,153
https://t.me/readovkanews,readovkanews,61903,,tg - news,,propaganda,
https://t.me/novaya_pishet,novaya_pishet,41023,,web/press,novayagazeta.ru,altern,
https://t.me/rbc_news,rbc_news,77596,,web/press,rbc.ru,moder,163
https://t.me/zvezdanews,zvezdanews,123306,,web/press,tvzvezda.ru,propaganda,5
https://t.me/aifonline,aifonline,52411,,web/press,aif.ru,propaganda,27
https://t.me/BFMnews,BFMnews,32808,,web/press,bfm.ru,moder,7
https://t.me/fontankaspb,fontankaspb,41786,,web/press,fontanka.ru,altern,24
https://t.me/forbesrussia,forbesrussia,53822,,web/press,forbes.ru,moder,8
https://t.me/gazetaru,gazetaru,17701,,web/press,gazeta.ru,propaganda,60
https://t.me/interfaxonline,interfaxonline,33741,,web/press,interfax.ru,propaganda,16
https://t.me/izvestia,izvestia,135989,,web/press,iz.ru,propaganda,33
https://t.me/kommersant,kommersant,52863,,web/press,kommersant.ru,moder,66
https://t.me/lentadnya,lentadnya,84585,,web/press,lenta.ru,moder,114
https://t.me/lifenews,lifenews,98004,,web/press,life.ru,propaganda,25
https://t.me/mk_ru,mk_ru,35368,,web/press,mk.ru,moder,88
https://t.me/novaya_europe,novaya_europe,19900,,web/press,novayagazeta.eu,altern,2
https://t.me/radiosvoboda,radiosvoboda,43601,,web/press,svoboda.org,altern,7
https://t.me/rentv_news,rentv_news,101468,,tv,ren.tv,propaganda,16
https://t.me/rgrunews,rgrunews,80629,,web/press,rg.ru,propaganda,36
https://t.me/riafan,riafan,139454,,web/press,riafan.ru,propaganda,11
https://t.me/rusvesnasu,rusvesnasu,27048,,web/press,rusvesna.su,propaganda,25
https://t.me/svpressaru,svpressaru,20000,,web/press,svpressa.ru,propaganda,18
https://t.me/tass_agency,tass_agency,199324,,web/press,tass.ru,propaganda,35
https://t.me/truekpru,truekpru,124717,,web/press,kp.ru,propaganda,79
https://t.me/uranews,uranews,77603,,web/press,ura.news,propaganda,50
https://t.me/vedomosti,vedomosti,34033,,web/press,vedomosti.ru,moder,17
https://t.me/vestiru24,vestiru24,78732,,web/press,vesti.ru,propaganda,21
https://t.me/tsargradtv,tsargradtv,49015,,web/press,tsargrad.tv,propaganda,34
https://t.me/sashakots,sashakots,40743,,tg - pers,,voenkor,
https://t.me/rybar,rybar,49285,,tg - pers,,voenkor,
https://t.me/voenacher,voenacher,47737,,tg - pers,,voenkor,
https://t.me/vysokygovorit,vysokygovorit,12163,,tg - pers,,voenkor,
https://t.me/SolovievLive,SolovievLive,192455,,tg - pers,,propaganda,
https://t.me/margaritasimonyan,margaritasimonyan,13079,,tg - pers,,propaganda,
https://t.me/breakingmash,breakingmash,45597,,tg - news,,moder,
https://t.me/tvc_ru,tvc_ru,55158,,tv,,propaganda,
https://t.me/strelkovii,strelkovii,5858,,tg - pers,,voenkor,
https://t.me/concordgroup_official,concordgroup_official,1304,,tg - pers,,voenkor,
